0.013097,-0.079034,0.07321,0.37143,-0.55676,0.049483,0.018336
-0.0020685,0.031891,-0.017983,1.0016,-0.2323,-0.018992,0.04059
-0.013308,-0.038498,-0.0011577,1.8706,-0.8541,0.055116,0.033375
-0.0099716,0.03084,-0.16708,-2.4451,-0.34161,0.112,0.0095896
-0.0031141,0.025542,-0.027725,1.5908,-0.010772,0.13924,-0.041869
-0.0054207,-0.081593,-0.030167,-0.38549,-0.43239,-0.15728,-0.046729
-0.0046016,-0.015178,-0.068687,-1.1827,-0.72847,0.02569,0.02079
-0.016145,0.041986,-0.11423,2.6615,-0.2479,0.018572,-0.2109
-0.015038,0.00018292,-0.042913,-1.8345,0.16402,-0.092497,0.11406
-0.02391,0.001877,-0.18373,0.28479,-0.64157,0.17402,-0.0069917
-0.0053132,0.026117,-0.030612,-2.4859,0.52248,0.00061299,0.0037623
-0.0051342,0.10896,-0.1231,-0.39603,-0.0030765,-0.11958,-0.020263
0.015682,-0.046766,0.021366,1.7075,-0.10058,-0.08419,-0.0067743
0.13344,-0.64105,0.12196,-3.8442,0.03116,0.10102,-0.060329
-0.030961,0.29613,-0.021635,-6.0616,-0.13098,0.1774,-0.18221
0.12949,-0.68128,0.086904,-1.2164,0.309,-0.047212,-0.17786
-0.014239,0.52219,0.29111,-1.0389,1.0988,0.057449,-0.18086
0,0,0.011963,-4.6693,-0.54377,0.10716,0.089203
-0.015888,-0.22844,-0.17771,1.5558,0.074783,0.22109,-0.15255
0.036739,0.25704,0.019217,1.0947,0.24642,0.049953,-0.024087
-0.03143,-0.17136,0.053936,-4.4194,-0.66644,0.0053021,0.065038
0,0,-0.11986,0.23908,0.66953,0.046736,-0.11339
0.064044,-0.44889,0.37867,-6.1969,-0.50195,0.029184,-0.11028
-0.049028,0.10486,-0.030264,-0.89111,0.70625,-0.01093,-0.13518
0,0,-0.094707,-0.28367,0.18142,0.074926,-0.034577
0.054126,-0.25438,0.24441,1.2031,-0.97307,0.041423,0.052487
0.01786,-0.15511,-0.089438,0.67918,-0.23761,0.1012,0.13951
0,0,-0.061591,1.1115,-0.65591,0.13569,0.0632
-0.0096996,-0.04189,-0.1174,1.781,-0.43533,-0.0050955,0.062714
0,0,-0.079236,0.31487,0.32535,-0.078171,0.22953
-0.24077,0.2993,-0.19598,1.3931,-0.64225,-0.0078826,0.06877
