year,period,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1992,1,NaN,NaN,4.03,601.32,461.34,413.74,0.0859
1992,2,NaN,NaN,4.06,602.27,461.73,413.99,0.1338
1992,3,NaN,NaN,3.98,600.07,462.44,414.23,0.0768
1992,4,NaN,NaN,3.73,602.8,462.58,414.5,0.0737
1992,5,NaN,NaN,3.82,602.92,462.3,414.64,0.0232
1992,6,NaN,NaN,3.76,601.15,463.68,414.81,0.0142
1992,7,NaN,NaN,3.25,605.02,463.69,415.14,-0.0603
1992,8,NaN,NaN,3.3,602.59,463.55,415.28,0.1166
1992,9,NaN,NaN,3.22,603.5,463.83,415.44,0.2231
1992,10,NaN,NaN,3.1,603.72,464.25,415.79,0.1418
1992,11,NaN,NaN,3.09,606.7,464.7,415.99,0.1046
1992,12,NaN,NaN,2.92,607.7,465.19,416.16,0.1479
1993,2,NaN,NaN,3.02,608.4,464.86,416.41,0.114
1993,3,NaN,NaN,3.03,609.45,465.05,416.56,0.0837
1993,4,NaN,NaN,3.07,611.3,464.65,416.76,0.0664
1993,5,NaN,NaN,2.96,608.72,464.97,417.03,0.0794
1993,6,NaN,NaN,3,610.97,465.49,417.34,0.0528
1993,7,NaN,NaN,3.04,611.04,465.61,417.37,-0.0389
1993,8,NaN,NaN,3.06,610.5,465.42,417.53,-0.0433
1993,9,NaN,NaN,3.03,613.9,465.85,417.7,-0.0542
1993,10,NaN,NaN,3.09,612.88,466.69,417.8,0.0398
1993,11,NaN,NaN,2.99,614.8,466.45,418.12,-0.0253
1993,12,NaN,NaN,3.02,613.51,467.57,418.31,-0.111
1994,1,NaN,NaN,2.96,614.5,467.9,418.33,-0.1353
1994,2,0,0,3.05,617.71,468.06,418.36,-0.2128
1994,3,0.13344,-0.64105,3.25,614.65,468.51,418.6,-0.4042
1994,4,-0.030961,0.29613,3.34,609.99,468.61,418.87,-0.2932
1994,5,0.12949,-0.68128,3.56,611.12,469.01,418.99,-0.2538
1994,6,-0.014239,0.52219,4.01,612.36,470.29,419.13,-0.2557
1994,7,0,0,4.25,609.65,469.7,419.38,-0.304
1994,8,-0.015888,-0.22844,4.26,612.75,469.86,419.69,-0.274
1994,9,0.036739,0.25704,4.47,616.44,470.35,419.92,-0.2337
1994,10,-0.03143,-0.17136,4.73,613.71,470.11,420.03,-0.3651
1994,11,0,0,4.76,615.78,471.12,420.2,-0.2713
1994,12,0.064044,-0.44889,5.29,611.74,470.96,420.39,-0.2223
1995,2,-0.049028,0.10486,5.45,612.97,471.88,420.46,-0.1659
1995,3,0,0,5.53,615.36,472.17,420.66,-0.2102
1995,4,0.054126,-0.25438,5.92,618.91,471.28,420.84,-0.2514
1995,5,0.01786,-0.15511,5.98,621.6,471.73,421.02,-0.2557
1995,6,0,0,6.05,624.36,471.51,421.28,-0.2068
1995,7,-0.0096996,-0.04189,6.01,627.93,471.64,421.44,-0.3033
1995,8,0,0,6,630.04,472.62,421.53,-0.1151
1995,9,-0.24077,0.2993,5.85,633.17,472.33,421.66,-0.2857
1995,10,0.041861,-0.18269,5.74,633.13,472.69,421.87,-0.1794
1995,11,0.061176,-0.16138,5.8,637.06,473.53,421.94,-0.149
1995,12,0,0,5.76,636.56,473.31,422.2,-0.1109
1996,1,0.023893,-0.06111,5.8,640.59,473.32,422.2,-0.0274
1996,2,-0.052983,0.25709,5.6,642.31,474.09,422.39,-0.0315
1996,3,-0.043742,0.05541,5.56,645.52,474.09,422.61,-0.0804
1996,4,0,0,5.22,646.21,474.09,422.77,-0.3069
1996,5,0.017322,0.15989,5.31,647,474.55,423.07,-0.3186
1996,6,0,0,5.22,648.34,475.66,423.37,-0.2695
1996,7,0.017335,-0.19289,5.24,650.59,475.29,423.54,-0.2964
1996,8,0,0,5.27,650.82,475.97,423.54,-0.2558
1996,9,-0.029481,0.1534,5.4,646.15,476.2,423.75,-0.3022
1996,10,-0.0030356,-0.1306,5.22,648,476.4,423.85,-0.3691
1996,11,-0.11255,0.00873,5.3,653.28,476.71,424.13,-0.3691
1996,12,0,0,5.24,655.86,477.37,424.43,-0.3114
1997,2,-0.014598,0.25457,5.31,662.94,477.57,424.61,-0.2727
1997,3,-0.0052545,-0.06073,5.29,660.76,477.03,424.73,-0.38
1997,4,0,0,5.25,666.72,477.65,424.86,-0.2893
1997,5,0.0013983,-0.30367,5.19,667.3,478.36,425.07,-0.4278
1997,6,0.062688,-0.45395,5.39,662.95,478.35,425.17,-0.4372
1997,7,0,0,5.51,668.62,479.65,425.27,-0.3848
1997,8,-0.076841,0.48372,5.5,674.32,479.28,425.22,-0.4103
1997,9,0,0,5.56,678.57,480.23,425.35,-0.496
1997,10,0.0058442,-0.37221,5.54,680.18,481.11,425.49,-0.4666
1997,11,-0.010417,-0.19196,5.54,685.36,481.52,425.73,-0.4561
1997,12,0,0,5.5,681.85,481.8,425.86,-0.5145
1998,1,-0.034999,-0.3511,5.52,686.21,481.66,425.87,-0.3622
1998,2,-0.0041991,-0.08456,5.5,687.77,482.55,425.85,-0.2936
1998,3,0,0,5.56,688.79,482.04,425.9,-0.3688
1998,4,0.022944,-0.19164,5.51,695.59,483.48,425.84,-0.31
1998,5,-0.00038669,-0.13567,5.49,700.47,483.88,425.86,-0.2954
1998,6,0,0,5.45,701.37,483.68,425.98,-0.3395
