year,period,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1992,1,NaN,NaN,4.03,448.56,461.34,413.74,0.0859
1992,2,NaN,NaN,4.06,443.56,461.73,413.99,0.1338
1992,3,NaN,NaN,3.98,440.61,462.44,414.23,0.0768
1992,4,NaN,NaN,3.73,440.59,462.58,414.5,0.0737
1992,5,NaN,NaN,3.82,448.29,462.3,414.64,0.0232
1992,6,NaN,NaN,3.76,445.11,463.68,414.81,0.0142
1992,7,NaN,NaN,3.25,446.69,463.69,415.14,-0.0603
1992,8,NaN,NaN,3.3,453.01,463.55,415.28,0.1166
1992,9,NaN,NaN,3.22,451.7,463.83,415.44,0.2231
1992,10,NaN,NaN,3.1,452.99,464.25,415.79,0.1418
1992,11,NaN,NaN,3.09,451.9,464.7,415.99,0.1046
1992,12,NaN,NaN,2.92,454.04,465.19,416.16,0.1479
1993,1,NaN,NaN,3.02,459.01,464.86,416.41,0.114
1993,2,NaN,NaN,3.03,459.76,465.05,416.56,0.0837
1993,3,NaN,NaN,3.07,466.2,464.65,416.76,0.0664
1993,4,NaN,NaN,2.96,468.48,464.97,417.03,0.0794
1993,5,NaN,NaN,3,465.4,465.49,417.34,0.0528
1993,6,NaN,NaN,3.04,468.56,465.61,417.37,-0.0389
1993,7,NaN,NaN,3.06,473.44,465.42,417.53,-0.0433
1993,8,NaN,NaN,3.03,474.73,465.85,417.7,-0.0542
1993,9,NaN,NaN,3.09,478.57,466.69,417.8,0.0398
1993,10,NaN,NaN,2.99,476.79,466.45,418.12,-0.0253
1993,11,NaN,NaN,3.02,476.94,467.57,418.31,-0.111
1993,12,NaN,NaN,2.96,471.09,467.9,418.33,-0.1353
1994,1,NaN,NaN,3.05,469.3,468.06,418.36,-0.2128
1994,2,0.13344,-0.64105,3.25,472.57,468.51,418.6,-0.4042
1994,3,-0.030961,0.29613,3.34,466.45,468.61,418.87,-0.2932
1994,4,0.12949,-0.68128,3.56,463.25,469.01,418.99,-0.2538
1994,5,-0.014239,0.52219,4.01,465.44,470.29,419.13,-0.2557
1994,6,0,0,4.25,467.02,469.7,419.38,-0.304
1994,7,-0.015888,-0.22844,4.26,467.79,469.86,419.69,-0.274
1994,8,0.036739,0.25704,4.47,469.28,470.35,419.92,-0.2337
1994,9,-0.03143,-0.17136,4.73,469.62,470.11,420.03,-0.3651
1994,10,0,0,4.76,467.52,471.12,420.2,-0.2713
1994,11,0.064044,-0.44889,5.29,466.67,470.96,420.39,-0.2223
1994,12,-0.049028,0.10486,5.45,460.06,471.88,420.46,-0.1659
1995,1,0,0,5.53,460.52,472.17,420.66,-0.2102
1995,2,0.054126,-0.25438,5.92,465.05,471.28,420.84,-0.2514
1995,3,0.01786,-0.15511,5.98,465.62,471.73,421.02,-0.2557
1995,4,0,0,6.05,465.85,471.51,421.28,-0.2068
1995,5,-0.0096996,-0.04189,6.01,467.97,471.64,421.44,-0.3033
1995,6,0,0,6,467.26,472.62,421.53,-0.1151
1995,7,-0.24077,0.2993,5.85,469.98,472.33,421.66,-0.2857
1995,8,0.041861,-0.18269,5.74,473.36,472.69,421.87,-0.1794
1995,9,0.061176,-0.16138,5.8,477.79,473.53,421.94,-0.149
1995,10,0,0,5.76,485.48,473.31,422.2,-0.1109
1995,11,0.023893,-0.06111,5.8,486.2,473.32,422.2,-0.0274
1995,12,-0.052983,0.25709,5.6,488.43,474.09,422.39,-0.0315
1996,1,-0.043742,0.05541,5.56,492.24,474.09,422.61,-0.0804
1996,2,0,0,5.22,493.91,474.09,422.77,-0.3069
1996,3,0.017322,0.15989,5.31,490,474.55,423.07,-0.3186
1996,4,0,0,5.22,487.18,475.66,423.37,-0.2695
1996,5,0.017335,-0.19289,5.24,489.43,475.29,423.54,-0.2964
1996,6,0,0,5.27,488.88,475.97,423.54,-0.2558
1996,7,-0.029481,0.1534,5.4,489.47,476.2,423.75,-0.3022
1996,8,-0.0030356,-0.1306,5.22,481.06,476.4,423.85,-0.3691
1996,9,-0.11255,0.00873,5.3,477.67,476.71,424.13,-0.3691
1996,10,0,0,5.24,478.54,477.37,424.43,-0.3114
1996,11,-0.014598,0.25457,5.31,480.49,477.57,424.61,-0.2727
1996,12,-0.0052545,-0.06073,5.29,486.88,477.03,424.73,-0.38
1997,1,0,0,5.25,490.03,477.65,424.86,-0.2893
1997,2,0.0013983,-0.30367,5.19,492.29,478.36,425.07,-0.4278
1997,3,0.062688,-0.45395,5.39,496.14,478.35,425.17,-0.4372
1997,4,0,0,5.51,487.6,479.65,425.27,-0.3848
1997,5,-0.076841,0.48372,5.5,490.73,479.28,425.22,-0.4103
1997,6,0,0,5.56,496.17,480.23,425.35,-0.496
1997,7,-0.011257,0.1788,5.52,498.8,480.78,425.41,-0.4666
1997,8,0.0058442,-0.37221,5.54,499.44,481.11,425.49,-0.4561
1997,9,-0.010417,-0.19196,5.54,494.87,481.52,425.73,-0.5145
1997,10,0,0,5.5,503.46,481.8,425.86,-0.3622
1997,11,-0.034999,-0.3511,5.52,506.23,481.66,425.87,-0.2936
1997,12,-0.0041991,-0.08456,5.5,518.79,482.55,425.85,-0.3688
1998,1,0,0,5.56,521.61,482.04,425.9,-0.31
1998,2,0.022944,-0.19164,5.51,526.83,483.48,425.84,-0.2954
1998,3,-0.00038669,-0.13567,5.49,527.03,483.88,425.86,-0.3395
1998,4,0,0,5.45,537.16,483.68,425.98,-0.4173
1998,5,-0.020624,-0.12953,5.49,531.87,483.86,426.12,-0.3705
1998,6,0,0,5.56,531.14,484.8,426.04,-0.3455
1998,7,-0.017471,0.02716,5.54,532.87,484.77,426.28,-0.2983
1998,8,0.0062418,0.04839,5.55,536.77,485.19,426.42,0.0851
1998,9,0.036304,-0.6975,5.51,526.85,486.47,426.36,0.0621
1998,10,-0.2015,2.095,5.07,537.3,486.84,426.58,0.1954
1998,11,-0.03374,0.63962,4.83,544.5,487.27,426.59,0.1942
1998,12,-0.008136,-0.1237,4.68,548.94,487.18,426.69,0.0533
1999,1,0,0,4.63,561.66,487.57,426.83,0.057
1999,2,0.010069,0.17015,4.76,569.55,488.19,426.77,-0.1806
1999,3,-0.025734,-0.16838,4.81,566.84,488.7,426.85,-0.1513
1999,4,0,0,4.74,564.63,488.53,427.33,-0.1999
1999,5,0.10265,-1.3856,4.74,568.31,488.9,427.39,-0.1951
1999,6,-0.10518,1.6013,4.76,570.19,488.96,427.42,-0.142
1999,7,0,0,4.99,576.78,489.88,427.69,-0.0865
1999,8,0.0073275,0.59237,5.07,574.38,489.71,427.87,-0.0325
1999,9,0,0,5.22,564.18,490.17,428.23,0.0982
1999,10,0.064146,-0.81193,5.2,568.72,490.82,428.4,0.1141
1999,11,0.07625,-0.32364,5.42,576.25,491.45,428.49,0.0719
1999,12,0.032421,0.48527,5.3,580.1,492.21,428.72,-0.1537
2000,1,0,0,5.45,577.71,491.28,428.99,0.0225
2000,2,-0.0058267,-0.3357,5.73,574,491.68,429.31,0.0909
2000,3,-0.00775,-0.03942,5.85,565.57,492.16,429.74,0.3377
2000,4,0,0,6.02,575.95,493.61,429.65,0.4955
2000,5,0.059609,-0.64349,6.27,569.52,493.59,429.74,0.6859
2000,6,-0.035343,0.26977,6.53,559,493.78,430.07,0.7271
2000,7,0,0,6.54,560.58,493.02,430.32,0.7931
2000,8,0.047807,-0.15955,6.5,552.14,494.02,430.32,0.9521
2000,9,0,0,6.52,549.73,494.06,430.75,1.0555
2000,10,0.038842,-0.22039,6.51,548.74,494.41,430.88,1.4413
2000,11,0.0062138,-0.6872,6.51,550.9,494.37,431.02,1.5232
2000,12,0.021519,-0.56081,6.4,535.47,494.04,431.18,1.5137
2001,1,-0.19406,3.993,5.98,527.18,493.95,431.66,1.0968
2001,2,0,0,5.49,540.56,493.75,431.81,1.1246
2001,3,-0.067912,-0.60045,5.31,531.14,493.9,431.82,1.0707
2001,4,-0.50644,2.3246,4.8,526,494.54,432,0.8916
