year,month,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1992,5,0.01238169,-0.04802,3.82,442.3888088768799,462.2970408,414.63517683806555,0.0232
1992,6,0,0,3.76,444.1238494305727,463.6839328504536,414.8122267902572,0.0142
1992,7,-0.07221606,0.22288,3.25,445.97975329723386,463.6917034606357,415.14177872484004,-0.0603
1992,8,0.00525726,0.02617,3.3,448.45832229989736,463.55176294573084,415.2754969768523,0.1166
1992,9,-0.00431514,-0.00719,3.22,443.88794462666647,463.8270931593621,415.43886233889464,0.22310001
1992,10,0.00268304,-0.19372,3.1,447.2210058731861,464.2537629590091,415.79138638181206,0.1418
1992,11,-0.00918557,0.19022,3.09,449.5132080779154,464.7025412773767,415.9882583692755,0.1046
1992,12,-0.00961387,-0.07718,2.92,455.6609995372714,465.1948527368723,416.16293090276963,0.1479
1993,1,0,0,3.02,459.64321200448063,464.8564359265895,416.40571746334007,0.114
1993,2,-0.00793754,-0.05131,3.03,462.8398312107298,465.0463356927967,416.5563842309941,0.083700001
1993,3,0.00885343,-0.0844,3.07,464.7750633523209,464.6487935917954,416.7610513308895,0.066399999
1993,4,0,0,2.96,468.3981366412381,464.96736781101527,417.0271118,0.079400003
1993,5,-0.02382891,0.16628,3,464.9091373046019,465.48895212390465,417.3355969056923,0.0528
1993,6,0,0,3.04,464.48715528396434,465.6061867910422,417.36947224476955,-0.038899999
1993,7,0.00218926,0.31433,3.06,469.2631461758086,465.41755162973504,417.5294550499781,-0.043299999
1993,8,0.00268304,-0.05693,3.03,471.0340683593631,465.8523747238137,417.6999240344289,-0.054200001
1993,9,0.00317284,0.0022,3.09,473.44425216922303,466.69401455990584,417.8042121243667,0.039799999
1993,10,0,0,2.99,475.10870608882465,466.4530907536873,418.11795347644915,-0.0253
1993,11,-0.00084095,0.04721,3.02,468.9970787680557,467.5714341905335,418.3072520598068,-0.111
1993,12,-0.0203899,0.01719,2.96,465.3484046266642,467.9003164662937,418.3301268,-0.1353
1994,1,0,0,3.05,467.1051555101604,468.0599547302298,418.3636669700862,-0.2128
1994,2,0.13344468,-0.64105,3.25,472.09066844706877,468.51198647729086,418.59509216472634,-0.40419999
1994,3,-0.03096104,0.29613,3.34,466.36277555596604,468.61209008736085,418.8699740703246,-0.29319999
1994,4,0.12949489,-0.68128,3.56,462.03543213131314,469.00728249559086,418.9881988931164,-0.2538
1994,5,-0.01423935,0.52219,4.01,465.19583474868506,470.29328680968945,419.1335147535729,-0.25569999
1994,6,0,0,4.25,470.1661486176853,469.6954227378945,419.3767485213173,-0.30399999
1994,7,-0.01588847,-0.22844,4.26,466.9833699313814,469.8620964555845,419.6916192551991,-0.27399999
1994,8,0.03673898,0.25704,4.47,469.0980842401203,470.34508164080364,419.92149577906963,-0.23370001
1994,9,-0.03142971,-0.17136,4.73,472.3042107,470.10900290762277,420.03248857593326,-0.3651
1994,10,0,0,4.76,464.55440801263643,471.1152558207396,420.20174023957946,-0.27129999
1994,11,0.06404409,-0.44889,5.29,465.9658371272161,470.9585910606718,420.3916198651391,-0.22229999
1994,12,-0.04902763,0.10486,5.45,459.6129441335942,471.87728577733895,420.4558282009895,-0.16590001
1995,1,0,0,5.53,460.51701859880916,472.1695576,420.6586347543448,-0.2102
1995,2,0.05412623,-0.25438,5.92,466.41935264375525,471.27582399557804,420.8357537159066,-0.25139999
1995,3,0.01785999,-0.15511,5.98,471.5548093,471.7264384,421.01998149725677,-0.25569999
1995,4,0,0,6.05,471.68010021592767,471.50564569103386,421.28236518729835,-0.2068
1995,5,-0.00969957,-0.04189,6.01,474.9789875598035,471.6355995165567,421.4362136473546,-0.30329999
1995,6,0,0,6,482.2054187131157,472.6212405847157,421.5337256224591,-0.1151
1995,7,-0.24077084,0.2993,5.85,482.57504548991363,472.3309096683007,421.65916930363505,-0.28569999
1995,8,0.0418609,-0.18269,5.74,485.2108385868018,472.68718043767706,421.87427067570644,-0.1794
