year,month,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1997,7,-0.01125695,0.1788,5.52,531.8414068247159,480.7775601924054,425.410803225922,1.53
1997,8,0.00584415,-0.37221,5.54,535.4933966966933,481.1066869232496,425.49032383446894,1.52
1997,9,-0.01041732,-0.19196,5.54,525.8068124640351,481.51919414314966,425.7313390500241,1.49
1997,10,0.0,0.0,5.5,530.2608147965192,481.7995841450931,425.8615289758647,1.54
1997,11,-0.03499868,-0.3511,5.52,528.1883060084612,481.65783093878895,425.8671855643777,1.54
1997,12,-0.00419908,-0.08456,5.5,535.3042266237284,482.5532543483542,425.84597170740676,1.51
1998,1,0.0,0.0,5.56,538.9117390874476,482.0445382621682,425.8954637083888,1.65
1998,2,0.0229442,-0.19164,5.51,536.7516883349041,483.4762355213238,425.8431428530926,1.68
1998,3,-0.00038669,-0.13567,5.49,542.6710581316436,483.88299909038943,425.85870056161497,1.67
1998,4,0.0,0.0,5.45,547.206056756712,483.68382202360937,425.98307517131053,1.69
1998,5,-0.02062434,-0.12953,5.49,544.1204854096585,483.8558561611751,426.1199909189521,1.65
1998,6,0.0,0.0,5.56,545.6388921118532,484.80048039072034,426.0353228831314,1.63
1998,7,-0.01747143,0.02716,5.54,549.3966383552854,484.76646277654476,426.2820712194002,1.69
1998,8,0.00624183,0.04839,5.55,544.6780474185659,485.1915664937643,426.41998480604394,1.8
1998,9,0.0363035,-0.6975,5.51,532.0274533900078,486.47285028972124,426.36230940441,2.28
1998,10,-0.20150039,2.09497,5.07,532.2326819008389,486.8377167786115,426.58157999616407,2.65
1998,11,-0.03373968,0.63962,4.83,546.141362935686,487.26701808446256,426.5857920299452,2.51
1998,12,-0.008136,-0.1237,4.68,550.2359644559846,487.17742473720057,426.6868276535944,2.58
1999,1,0.0,0.0,4.63,551.9058033245936,487.56927560632715,426.8269857748736,2.57
1999,2,0.0100694,0.17015,4.76,549.5896925730973,488.1924185816195,426.77094609731637,2.39
1999,3,-0.02573371,-0.16838,4.81,545.2410901885437,488.70254727639787,426.8465922450716,2.3
1999,4,0.0,0.0,4.74,543.0003307373412,488.53438952671803,427.3285410856578,2.3
1999,5,0.10265329,-1.38561,4.74,544.1031468747212,488.8973722736621,427.3940184808824,2.18
1999,6,-0.10518432,1.60132,4.76,544.293705615798,488.9609180600074,427.42465274972875,2.12
1999,7,0.0,0.0,4.99,543.0485330125454,489.87573834842885,427.69022022573245,2.16
1999,8,0.00732746,0.59237,5.07,542.0800450762586,489.7100477882267,427.8719564807953,2.21
1999,9,0.0,0.0,5.22,540.2271894267886,490.1699063637044,428.2302979800842,2.28
1999,10,0.0641457,-0.81193,5.2,529.209806673412,490.8159369101731,428.39864818819564,2.27
1999,11,0.07624969,-0.32364,5.42,536.1104354646802,491.44719710838467,428.48822737873957,2.12
1999,12,0.03242067,0.48527,5.3,537.3795827723942,492.2138994081038,428.72075842457787,1.91
2000,1,0.0,0.0,5.45,533.777843542895,491.2809871923143,428.99250518124984,1.67
2000,2,-0.00582671,-0.3357,5.73,526.7187831351116,491.6801300542684,429.30724625885216,1.77
2000,3,-0.00774995,-0.03942,5.85,515.9112768827488,492.1646141533755,429.7353431115929,2.11
2000,4,0.0,0.0,6.02,514.487476930446,493.6053393219602,429.6523211059941,2.41
2000,5,0.05960927,-0.64349,6.27,516.8948726206754,493.5925332778025,429.7353431115929,2.46
2000,6,-0.03534337,0.26977,6.53,525.9160651346842,493.7830238657854,430.0735231037276,2.38
2000,7,0.0,0.0,6.54,526.7651952237151,493.0248632685626,430.3240428937722,2.3
2000,8,0.04780744,-0.15955,6.5,525.6713816692961,494.0221614613623,430.3172803340055,2.43
2000,9,0.0,0.0,6.52,524.1905732622074,494.05802230095804,430.74647133469773,2.55
2000,10,0.03884197,-0.22039,6.51,528.4370560415412,494.41184553693853,430.88240217895145,2.6
2000,11,0.00621384,-0.6872,6.51,539.376390069205,494.37008399519095,431.0221777544266,2.56
2000,12,0.02151906,-0.56081,6.4,543.6948234717258,494.0358737258806,431.1751691684374,2.78
