year,month,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1993,1,0.0,0.0,3.02,447.2210058731861,464.8564359265895,416.40571746334007,2.07
1993,2,-0.00793754,-0.05131,3.03,447.3579765600494,465.0463356927967,416.5563842309941,2.13
1993,3,0.00885343,-0.0844,3.07,448.41318576110353,464.6487935917954,416.7610513308895,2.17
1993,4,0.0,0.0,2.96,448.57107459507637,464.96736781101527,417.027111784527,2.17
1993,5,-0.02382891,0.16628,3.0,450.70059372008603,465.48895212390465,417.3355969056923,2.17
1993,6,0.0,0.0,3.04,452.36346980055725,465.6061867910422,417.36947224476955,2.11
1993,7,0.00218926,0.31433,3.06,449.5913200051142,465.41755162973504,417.5294550499781,2.12
1993,8,0.00268304,-0.05693,3.03,449.86979414775743,465.8523747238137,417.6999240344289,1.92
1993,9,0.00317284,0.0022,3.09,452.18972667942705,466.69401455990584,417.8042121243667,1.98
1993,10,0.0,0.0,2.99,447.83590191217047,466.4530907536873,418.11795347644915,1.98
1993,11,-0.00084095,0.04721,3.02,451.71037071196406,467.5714341905335,418.3072520598068,1.94
1993,12,-0.0203899,0.01719,2.96,454.0738325828703,467.9003164662937,418.330126805425,1.92
1994,1,0.0,0.0,3.05,457.2543683160998,468.0599547302298,418.3636669700862,1.9
1994,2,0.13344468,-0.64105,3.25,464.8899948849416,468.51198647729086,418.59509216472634,1.79
1994,3,-0.03096104,0.29613,3.34,461.96646321385447,468.61209008736085,418.8699740703246,1.65
1994,4,0.12949489,-0.68128,3.56,457.5844356606263,469.00728249559086,418.9881988931164,1.55
1994,5,-0.01423935,0.52219,4.01,457.50202090372085,470.29328680968945,419.1335147535729,1.44
1994,6,0.0,0.0,4.25,461.512051684126,469.6954227378945,419.3767485213173,1.55
1994,7,-0.01588847,-0.22844,4.26,458.5987366571318,469.8620964555845,419.6916192551991,1.5
1994,8,0.03673898,0.25704,4.47,463.336884034677,470.34508164080364,419.92149577906963,1.5
1994,9,-0.03142971,-0.17136,4.73,468.96032419629205,470.10900290762277,420.03248857593326,1.52
1994,10,0.0,0.0,4.76,468.84997935750954,471.1152558207396,420.20174023957946,1.46
1994,11,0.06404409,-0.44889,5.29,465.2626127144386,470.9585910606718,420.3916198651391,1.36
1994,12,-0.04902763,0.10486,5.45,457.07857591262604,471.87728577733895,420.4558282009895,1.29
1995,1,0.0,0.0,5.53,460.51701859880916,472.169557638883,420.6586347543448,1.3
1995,2,0.05412623,-0.25438,5.92,456.4764771353053,471.27582399557804,420.8357537159066,1.38
1995,3,0.01785999,-0.15511,5.98,462.7029520340985,471.726438435972,421.01998149725677,1.5
1995,4,0.0,0.0,6.05,467.88852238103715,471.50564569103386,421.28236518729835,1.54
1995,5,-0.00969957,-0.04189,6.01,469.1347882229143,471.6355995165567,421.4362136473546,1.57
1995,6,0.0,0.0,6.0,472.0550337028164,472.6212405847157,421.5337256224591,1.73
1995,7,-0.24077084,0.2993,5.85,475.6516938482616,472.3309096683007,421.65916930363505,1.76
1995,8,0.0418609,-0.18269,5.74,478.30652938291325,472.68718043767706,421.87427067570644,1.7
1995,9,0.06117591,-0.16138,5.8,477.6852007677701,473.53391410094093,421.94341730609216,1.73
1995,10,0.0,0.0,5.76,478.00474358928096,473.3062607257343,422.20192544764325,1.71
1995,11,0.02389283,-0.06111,5.8,471.4472920878541,473.31705520178735,422.19899160577705,1.75
1995,12,-0.0529832,0.25709,5.6,477.42376271036306,474.08912549233185,422.3909766576744,1.78
1996,1,-0.04374155,0.05541,5.56,476.4649500533414,474.08513946001653,422.6132769715205,1.82
1996,2,0.0,0.0,5.22,482.7993686091376,474.09418837650577,422.77092742895246,1.82
1996,3,0.01732177,0.15989,5.31,482.39843791410715,474.5472686478634,423.07239787070915,1.76
1996,4,0.0,0.0,5.22,488.49208881135917,475.663023513967,423.3715123669909,1.68
1996,5,0.0173348,-0.19289,5.24,488.8166296449158,475.2920569634636,423.5438949831038,1.56
1996,6,0.0,0.0,5.27,487.40516289761547,475.9738777927917,423.5424476270614,1.49
1996,7,-0.02948097,0.1534,5.4,482.2376144635548,476.20043060472767,423.7535401813017,1.48
1996,8,-0.00303561,-0.1306,5.22,479.62036833840676,476.3970567172278,423.84881953021613,1.54
1996,9,-0.11254959,0.00873,5.3,482.4145060430082,476.71366456029523,424.13123639780224,1.52
1996,10,0.0,0.0,5.24,486.5686590367102,477.3724738375402,424.4329434251246,1.54
1996,11,-0.01459773,0.25457,5.31,487.25219919666216,477.57107488434104,424.6106677413001,1.59
1996,12,-0.0052545,-0.06073,5.29,491.7935038807336,477.0313518655213,424.726591530821,1.59
1997,1,0.0,0.0,5.25,489.0273937425071,477.65106651930535,424.85666680698887,1.51
1997,2,0.00139831,-0.30367,5.19,491.515176593464,478.36211664335383,425.06500616143643,1.52
1997,3,0.06268788,-0.45395,5.39,493.928249731768,478.3509455890192,425.1704372990307,1.49
1997,4,0.0,0.0,5.51,489.34270931907145,479.64740988118103,425.2686446667828,1.45
1997,5,-0.07684075,0.48372,5.5,491.78618939439014,479.2820851820428,425.2231112131374,1.49
1997,6,0.0,0.0,5.56,497.4731739749902,480.2347608311899,425.3511212438455,1.53
1997,7,-0.01125695,0.1788,5.52,500.87668830362276,480.7775601924054,425.410803225922,1.53
1997,8,0.00584415,-0.37221,5.54,508.9569695517559,481.1066869232496,425.49032383446894,1.52
1997,9,-0.01041732,-0.19196,5.54,503.84449947355233,481.51919414314966,425.7313390500241,1.49
1997,10,0.0,0.0,5.5,504.71600687786287,481.7995841450931,425.8615289758647,1.54
1997,11,-0.03499868,-0.3511,5.52,495.50521095192215,481.65783093878895,425.8671855643777,1.54
1997,12,-0.00419908,-0.08456,5.5,496.3753308196125,482.5532543483542,425.84597170740676,1.51
1998,1,0.0,0.0,5.56,495.13805668789405,482.0445382621682,425.8954637083888,1.65
1998,2,0.0229442,-0.19164,5.51,494.44954915917106,483.4762355213238,425.8431428530926,1.68
1998,3,-0.00038669,-0.13567,5.49,499.84952342020864,483.88299909038943,425.85870056161497,1.67
1998,4,0.0,0.0,5.45,505.0432763970322,483.68382202360937,425.98307517131053,1.69
1998,5,-0.02062434,-0.12953,5.49,508.71641430853794,483.8558561611751,426.1199909189521,1.65
1998,6,0.0,0.0,5.56,505.46521795130303,484.80048039072034,426.0353228831314,1.63
1998,7,-0.01747143,0.02716,5.54,501.24336760376355,484.76646277654476,426.2820712194002,1.69
1998,8,0.00624183,0.04839,5.55,492.5150024739035,485.1915664937643,426.41998480604394,1.8
1998,9,0.0363035,-0.6975,5.51,478.2479200958502,486.47285028972124,426.36230940441,2.28
1998,10,-0.20150039,2.09497,5.07,484.15852794955407,486.8377167786115,426.58157999616407,2.65
1998,11,-0.03373968,0.63962,4.83,487.4891933062879,487.26701808446256,426.5857920299452,2.51
1998,12,-0.008136,-0.1237,4.68,490.68291253706667,487.17742473720057,426.6868276535944,2.58
1999,1,0.0,0.0,4.63,486.82265186134674,487.56927560632715,426.8269857748736,2.57
1999,2,0.0100694,0.17015,4.76,484.4344554374828,488.1924185816195,426.77094609731637,2.39
1999,3,-0.02573371,-0.16838,4.81,485.2030263919617,488.70254727639787,426.8465922450716,2.3
1999,4,0.0,0.0,4.74,487.5731531631454,488.53438952671803,427.3285410856578,2.3
1999,5,0.10265329,-1.38561,4.74,509.12316946074634,488.8973722736621,427.3940184808824,2.18
1999,6,-0.10518432,1.60132,4.76,500.97682516569046,488.9609180600074,427.42465274972875,2.12
1999,7,0.0,0.0,4.99,505.8218380834414,489.87573834842885,427.69022022573245,2.16
1999,8,0.00732746,0.59237,5.07,504.2198558552374,489.7100477882267,427.8719564807953,2.21
1999,9,0.0,0.0,5.22,499.9034936029934,490.1699063637044,428.2302979800842,2.28
1999,10,0.0641457,-0.81193,5.2,496.7866962245318,490.8159369101731,428.39864818819564,2.27
1999,11,0.07624969,-0.32364,5.42,498.9547841765771,491.44719710838467,428.48822737873957,2.12
1999,12,0.03242067,0.48527,5.3,497.34179062794396,492.2138994081038,428.72075842457787,1.91
2000,1,0.0,0.0,5.45,507.4923783978618,491.2809871923143,428.99250518124984,1.67
2000,2,-0.00582671,-0.3357,5.73,494.91853317800326,491.6801300542684,429.30724625885216,1.77
2000,3,-0.00774995,-0.03942,5.85,484.5682031463393,492.1646141533755,429.7353431115929,2.11
2000,4,0.0,0.0,6.02,493.8709554524667,493.6053393219602,429.6523211059941,2.41
2000,5,0.05960927,-0.64349,6.27,489.3576995754329,493.5925332778025,429.7353431115929,2.46
2000,6,-0.03534337,0.26977,6.53,486.7149761087499,493.7830238657854,430.0735231037276,2.38
2000,7,0.0,0.0,6.54,477.13623608521624,493.0248632685626,430.3240428937722,2.3
2000,8,0.04780744,-0.15955,6.5,477.693622884253,494.0221614613623,430.3172803340055,2.43
2000,9,0.0,0.0,6.52,478.9157022101107,494.05802230095804,430.74647133469773,2.55
2000,10,0.03884197,-0.22039,6.51,468.42585923070556,494.41184553693853,430.88240217895145,2.6
2000,11,0.00621384,-0.6872,6.51,477.60094056730117,494.37008399519095,431.0221777544266,2.56
2000,12,0.02151906,-0.56081,6.4,474.43232473806677,494.0358737258806,431.1751691684374,2.78
2001,1,-0.19405822,3.99301,5.98,487.98430038462317,493.9466753761898,431.6581035598813,2.77
2001,2,0.0,0.0,5.49,485.35135383240424,493.7474410478525,431.812790882365,2.77
2001,3,-0.06791155,-0.60045,5.31,486.22126223077606,493.9002016403824,431.82211781121396,2.95
2001,4,-0.50644109,2.32456,4.8,481.55931728929204,494.5355672944135,431.99783436712227,2.93
2001,5,-0.14831302,0.37291,4.21,492.13668263380737,494.9768010574369,432.2608316230881,2.68
2001,6,0.08603963,-0.52379,3.97,495.7023524647607,494.34507618722836,432.43710384357155,2.69
2001,7,0.0,0.0,3.77,491.2213611918492,494.316959059339,432.40399367248676,2.73
2001,8,-0.09010571,-0.6934,3.65,491.3536849632705,495.40050334706575,432.39207132668486,2.88
2001,9,-0.07529557,,3.07,490.20101962246383,493.9540950791943,432.05102090686324,3.3
2001,10,-0.0603141,-0.35196,2.49,478.1976562093936,494.832773770569,432.40266903758925,3.34
2001,11,-0.17758018,0.6426,2.09,480.5413517415968,494.4092612705794,432.33508938046856,3.16
2001,12,-0.0724479,0.26526,1.82,491.52251092915975,496.07140152909324,432.2316438392951,2.96
2002,1,0.02633679,-0.03735,1.73,488.98226738795074,496.2869382812029,432.3218331102334,2.83
2002,2,0.0,0.0,1.74,490.8454901667279,495.7658315552563,432.4900573251764,2.98
2002,3,-0.07093456,-0.33914,1.73,495.6953183846396,496.10513669912376,432.7610046826654,2.83
2002,4,0.0,0.0,1.75,498.9343558628634,496.0911321297718,433.1785418237135,2.82
2002,5,-0.03313765,-0.29932,1.75,493.9926665825801,496.1323990610752,433.24424053181207,2.93
2002,6,0.00566774,-0.48238,1.75,498.50439444293465,496.59342980482774,433.36894928743186,3.02
2002,7,0.0,0.0,1.73,496.2424961791833,496.9926378005465,433.58910689381787,3.25
2002,8,-0.1023151,-0.60374,1.74,484.2847607079338,496.34545496613185,433.78526744215014,3.32
2002,9,-0.01267204,-1.01173,1.75,483.5726197017755,496.58108479557023,433.96539593026324,3.53
2002,10,0.0,0.0,1.75,469.5650539116466,496.40891443927967,434.14780402764063,3.79
2002,11,-0.10318158,-0.53662,1.34,474.4410253079596,496.8011560233884,434.2466864047111,3.57
2002,12,0.01814157,-0.2987,1.24,485.50725066029923,497.4148688316428,434.3428727536664,3.42
2003,1,0.04342205,0.15934,1.24,480.9660848803092,497.15122329409667,434.64124103147117,3.3
2003,2,0.0,0.0,1.26,475.8406161886949,497.3979462937049,435.06133639681383,3.16
2003,3,0.00703319,-0.43291,1.25,472.8272383122075,496.8363856087355,435.3176955944818,3.14
2003,4,0.0,0.0,1.26,472.7918651247145,497.72657320757173,435.1477216934784,2.89
2003,5,-0.0901985,0.12916,1.26,481.5755208054905,498.0032418924238,435.03295479306274,2.81
2003,6,0.14221599,-0.20488,1.22,484.35569667149946,499.04920303501024,435.1412776056045,2.86
2003,7,0.0,0.0,1.01,485.0153503906757,499.30209923706326,435.434706556714,2.64
2003,8,-0.03448743,-0.07643,1.03,492.565821016505,499.82329809914773,435.7721134645773,2.56
2003,9,-0.00339972,0.09982,1.01,495.3923839178813,500.34138649610156,436.0841301880897,2.52
2003,10,-0.0817273,-0.0135,1.01,490.53488497691546,500.6355321381573,436.09689701478464,2.44
2003,11,0.0,0.0,1.0,499.25392098268475,501.24457547261125,436.22320073457024,2.36
2003,12,0.02845916,-0.11632,0.98,501.2965909434538,501.4027536601781,436.4435310643477,2.33
2004,1,0.12624922,-0.91791,1.0,510.80039598245304,500.8062106213303,436.82952897875833,2.29
2004,2,0.0,0.0,1.01,505.8663263106837,501.6097374243331,437.0422061315747,2.19
2004,3,-0.05886477,-0.05315,1.0,510.6127275555477,502.3851114141496,437.19636724780423,2.28
2004,4,0.0,0.0,1.0,508.4938485288739,502.18505348308344,437.38180361239927,2.11
2004,5,0.00612909,0.36501,1.0,503.53929452219825,503.0135972894409,437.70643428440667,2.03
2004,6,-0.02737725,0.26758,1.03,505.65642259846555,502.3242786542223,437.9911900198316,2.05
2004,7,0.0,0.0,1.26,510.44291733826174,503.48385271021004,438.08384290370725,2.12
2004,8,0.04971448,-0.30232,1.43,508.2087361502895,503.60458166176335,438.13514067588136,2.18
2004,9,-0.01419391,0.0293,1.61,509.76077814408035,503.6952359223253,438.3325790405501,2.14
2004,10,0.0,0.0,1.76,513.3796434379589,504.35817275668535,438.76110129677824,2.11
2004,11,-0.02838619,0.1175,1.93,512.5569832188355,504.3213470627906,439.1457028402968,2.01
2004,12,-0.01455039,0.06497,2.16,519.8276012367811,504.9098240381021,439.1989341688088,1.92
2005,1,0.0,0.0,2.28,521.0469275974841,505.9824700452291,439.33003468972566,1.8
2005,2,-0.01397984,0.01929,2.5,517.8745231407191,505.7296539846809,439.60774578965413,1.65
2005,3,0.06765631,-0.33953,2.63,525.1802112806569,505.83512316724983,439.90681005287337,1.56
2005,4,0.0,0.0,2.79,522.305488204749,505.99570045498854,440.1866026000139,1.71
2005,5,0.005633,0.621,3.0,515.0049349878934,506.11487771062906,440.24295719440465,1.87
2005,6,0.04697282,-0.41325,3.04,513.8148614395216,507.1707287447348,440.3054001865957,1.86
2005,7,0.0,0.0,3.26,511.8053690863526,507.27861004940326,440.72800655860124,1.77
2005,8,-0.01986487,0.21427,3.5,516.9972500610814,507.311689527054,441.13062717388624,1.7
