year,month,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1992,1,0.0,0.0,4.03,471.4472920878541,461.3425711519686,413.7372122692619,2.1
1992,2,0.00457179,0.03621,4.06,465.0908077661945,461.7326518034638,413.99073016324604,1.89
1992,3,0.0,0.0,3.98,462.83006033769453,462.4393122314512,414.2324874740668,1.71
1992,4,-0.25893526,0.61127,3.73,462.03543213131314,462.57676030208586,414.50218335730824,1.73
1992,5,0.01238169,-0.04802,3.82,464.5640118541804,462.297040836369,414.63517683806555,1.74
1992,6,0.0,0.0,3.76,466.7581446109488,463.6839328504536,414.8122267902572,1.79
1992,7,-0.07221606,0.22288,3.25,466.6923582263573,463.6917034606357,415.14177872484004,2.0
1992,8,0.00525726,0.02617,3.3,473.1274062783817,463.55176294573084,415.2754969768523,2.06
1992,9,-0.00431514,-0.00719,3.22,471.1690029365764,463.8270931593621,415.43886233889464,2.2
1992,10,0.00268304,-0.19372,3.1,471.36657821413894,464.2537629590091,415.79138638181206,2.25
1992,11,-0.00918557,0.19022,3.09,470.6281687356503,464.7025412773767,415.9882583692755,2.09
1992,12,-0.00961387,-0.07718,2.92,469.63810660414754,465.1948527368723,416.16293090276963,2.04
1993,1,0.0,0.0,3.02,471.7963013463213,464.8564359265895,416.40571746334007,2.07
1993,2,-0.00793754,-0.05131,3.03,474.6322465743975,465.0463356927967,416.5563842309941,2.13
1993,3,0.00885343,-0.0844,3.07,480.45127271163494,464.6487935917954,416.7610513308895,2.17
1993,4,0.0,0.0,2.96,481.38090510994186,464.96736781101527,417.027111784527,2.17
1993,5,-0.02382891,0.16628,3.0,480.8111029984782,465.48895212390465,417.3355969056923,2.17
1993,6,0.0,0.0,3.04,480.13124617993583,465.6061867910422,417.36947224476955,2.11
1993,7,0.00218926,0.31433,3.06,483.1269365127934,465.41755162973504,417.5294550499781,2.12
1993,8,0.00268304,-0.05693,3.03,485.0388291620612,465.8523747238137,417.6999240344289,1.92
1993,9,0.00317284,0.0022,3.09,488.32563647664256,466.69401455990584,417.8042121243667,1.98
1993,10,0.0,0.0,2.99,486.96092197094725,466.4530907536873,418.11795347644915,1.98
1993,11,-0.00084095,0.04721,3.02,484.63108140039554,467.5714341905335,418.3072520598068,1.94
