year,month,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1994,9,-0.03142971,-0.17136,4.73,462.5658852415406,470.10900290762277,420.03248857593326,-0.3651
1994,10,0,0,4.76,459.5725727160091,471.1152558207396,420.20174023957946,-0.27129999
1994,11,0.06404409,-0.44889,5.29,467.34828261701784,470.9585910606718,420.3916198651391,-0.22229999
1994,12,-0.04902763,0.10486,5.45,461.72963657859316,471.87728577733895,420.4558282009895,-0.16590001
1995,1,0,0,5.53,460.51701859880916,472.1695576,420.6586347543448,-0.2102
1995,2,0.05412623,-0.25438,5.92,462.3108331119105,471.27582399557804,420.8357537159066,-0.25139999
1995,3,0.01785999,-0.15511,5.98,465.38651075268496,471.7264384,421.01998149725677,-0.25569999
1995,4,0,0,6.05,470.3566507844285,471.50564569103386,421.28236518729835,-0.2068
1995,5,-0.00969957,-0.04189,6.01,473.0303916744857,471.6355995165567,421.4362136473546,-0.30329999
1995,6,0,0,6,475.97779042145294,472.6212405847157,421.5337256224591,-0.1151
1995,7,-0.24077084,0.2993,5.85,472.2775428062355,472.3309096683007,421.65916930363505,-0.28569999
1995,8,0.0418609,-0.18269,5.74,475.49685510764857,472.68718043767706,421.87427067570644,-0.1794
1995,9,0.06117591,-0.16138,5.8,471.63537149487064,473.53391410094093,421.94341730609216,-0.149
1995,10,0,0,5.76,473.51452624098374,473.3062607257343,422.20192544764325,-0.1109
1995,11,0.02389283,-0.06111,5.8,473.66369487303973,473.31705520178735,422.19899160577705,-0.0274
1995,12,-0.0529832,0.25709,5.6,477.47441699595436,474.08912549233185,422.3909766576744,-0.031500001
1996,1,-0.04374155,0.05541,5.56,483.6043783364212,474.08513946001653,422.6132769715205,-0.080399998
1996,2,0,0,5.22,483.44548420590644,474.09418837650577,422.77092742895246,-0.30689999
1996,3,0.01732177,0.15989,5.31,483.6123164193784,474.5472686478634,423.07239787070915,-0.3186
1996,4,0,0,5.22,488.2423062949333,475.6630235,423.3715123669909,-0.26949999
1996,5,0.0173348,-0.19289,5.24,490.8159503,475.2920569634636,423.5438949831038,-0.29640001
1996,6,0,0,5.27,491.1624943763155,475.9738777927917,423.5424476270614,-0.25580001
